Model      | Query ID   | Doc ID     | Title                                                        | Query                                             
------------------------------------------------------------------------------------------------------------------------------------------------------
VSM        | 1          | 722        | Information Transfer Limitations of Titles of Chemical Doc   | What problems and concerns are there in makin...  
VSM        | 1          | 1281       | Relative Effectiveness of Document Titles and Abstracts fo   | What problems and concerns are there in makin...  
VSM        | 1          | 429        | The Information Content of Titles in Engineering Literatur   | What problems and concerns are there in makin...  
VSM        | 1          | 589        | Are Titles of Chemical Papers Becoming More Informative?     | What problems and concerns are there in makin...  
VSM        | 1          | 813        | Comparative Efficiency of Searching Titles, Abstracts, and   | What problems and concerns are there in makin...  
VSM        | 1          | 1299       | Current Physics Information                                  | What problems and concerns are there in makin...  
VSM        | 1          | 24         | Libraries and Technological Forces Affecting Them            | What problems and concerns are there in makin...  
VSM        | 1          | 60         | Information Science: What Is It?                             | What problems and concerns are there in makin...  
VSM        | 1          | 650        | Relative Effectiveness of Titles, Abstracts, and Subject H   | What problems and concerns are there in makin...  
VSM        | 1          | 711        | Development and Production of Chemical Titles, a Current A   | What problems and concerns are there in makin...  
LM         | 1          | 722        | Information Transfer Limitations of Titles of Chemical Doc   | What problems and concerns are there in makin...  
LM         | 1          | 589        | Are Titles of Chemical Papers Becoming More Informative?     | What problems and concerns are there in makin...  
LM         | 1          | 429        | The Information Content of Titles in Engineering Literatur   | What problems and concerns are there in makin...  
LM         | 1          | 447        | A Note on the Concept of "Relevance"                         | What problems and concerns are there in makin...  
LM         | 1          | 814        | Towards Automatic Profile Construction                       | What problems and concerns are there in makin...  
LM         | 1          | 813        | Comparative Efficiency of Searching Titles, Abstracts, and   | What problems and concerns are there in makin...  
LM         | 1          | 676        | ISI's Experiences with ASCA - A Selective Dissemination Sy   | What problems and concerns are there in makin...  
LM         | 1          | 1299       | Current Physics Information                                  | What problems and concerns are there in makin...  
LM         | 1          | 34         | Keyword-In-Context Index for Technical Literature (KWIC In   | What problems and concerns are there in makin...  
LM         | 1          | 244        | Case Studies in Library Computer Systems                     | What problems and concerns are there in makin...  
VSM        | 2          | 1155       | A Study of Information Requests for Scientific Research an   | How can actually pertinent data, as opposed t...  
VSM        | 2          | 810        | A Probabilistic Search Strategy for MEDLARS                  | How can actually pertinent data, as opposed t...  
VSM        | 2          | 790        | Computer Indexing of Medical Articles - Project Medico       | How can actually pertinent data, as opposed t...  
VSM        | 2          | 1158       | Principles of Studying of Information Requests               | How can actually pertinent data, as opposed t...  
VSM        | 2          | 1399       | Syntactic Structures                                         | How can actually pertinent data, as opposed t...  
VSM        | 2          | 768        | Student Attitudes to the University Library.  A Survey at    | How can actually pertinent data, as opposed t...  
VSM        | 2          | 1096       | Timing Data for Information Processes                        | How can actually pertinent data, as opposed t...  
VSM        | 2          | 605        | Citations, References and the Growth of Scientific Literat   | How can actually pertinent data, as opposed t...  
VSM        | 2          | 1156       | Formulation of Information Requests                          | How can actually pertinent data, as opposed t...  
VSM        | 2          | 753        | Source of Citations and References for Analysis Purposes:    | How can actually pertinent data, as opposed t...  
LM         | 2          | 1399       | Syntactic Structures                                         | How can actually pertinent data, as opposed t...  
LM         | 2          | 166        | The Future of Scientific and Technological Publications      | How can actually pertinent data, as opposed t...  
