Model      | Query ID   | Doc ID     | Title                                                        | Query                                             
------------------------------------------------------------------------------------------------------------------------------------------------------
VSM        | 1          | 13         | similarity laws for stressing heated wings .                 | what similarity laws must be obeyed when cons...  
VSM        | 1          | 184        | scale models for thermo-aeroelastic research .               | what similarity laws must be obeyed when cons...  
VSM        | 1          | 12         | some structural and aerelastic considerations of high spee   | what similarity laws must be obeyed when cons...  
VSM        | 1          | 875        | models for aeroelastic investigation .                       | what similarity laws must be obeyed when cons...  
VSM        | 1          | 486        | similarity laws for aerothermoelastic testing .              | what similarity laws must be obeyed when cons...  
VSM        | 1          | 51         | theory of aircraft structural models subjected to aerodyna   | what similarity laws must be obeyed when cons...  
VSM        | 1          | 746        | aeroelastic problems in connection with high speed flight    | what similarity laws must be obeyed when cons...  
VSM        | 1          | 1268       | stable combustion of a high-velocity gas in a heated bound   | what similarity laws must be obeyed when cons...  
VSM        | 1          | 327        | on local flat plate similarity in the hypersonic boundary    | what similarity laws must be obeyed when cons...  
VSM        | 1          | 792        | some low speed problems of high speed aircraft .             | what similarity laws must be obeyed when cons...  
LM         | 1          | 184        | scale models for thermo-aeroelastic research .               | what similarity laws must be obeyed when cons...  
LM         | 1          | 13         | similarity laws for stressing heated wings .                 | what similarity laws must be obeyed when cons...  
LM         | 1          | 486        | similarity laws for aerothermoelastic testing .              | what similarity laws must be obeyed when cons...  
LM         | 1          | 1268       | stable combustion of a high-velocity gas in a heated bound   | what similarity laws must be obeyed when cons...  
LM         | 1          | 12         | some structural and aerelastic considerations of high spee   | what similarity laws must be obeyed when cons...  
LM         | 1          | 51         | theory of aircraft structural models subjected to aerodyna   | what similarity laws must be obeyed when cons...  
LM         | 1          | 875        | models for aeroelastic investigation .                       | what similarity laws must be obeyed when cons...  
LM         | 1          | 141        | free-flight techniques for high speed aerodynamic research   | what similarity laws must be obeyed when cons...  
LM         | 1          | 1361       | large deflections of structures subjected to heating and e   | what similarity laws must be obeyed when cons...  
LM         | 1          | 878        | experimental model techniques and equipment for flutter in   | what similarity laws must be obeyed when cons...  
VSM        | 2          | 12         | some structural and aerelastic considerations of high spee   | what are the structural and aeroelastic probl...  
VSM        | 2          | 746        | aeroelastic problems in connection with high speed flight    | what are the structural and aeroelastic probl...  
VSM        | 2          | 51         | theory of aircraft structural models subjected to aerodyna   | what are the structural and aeroelastic probl...  
VSM        | 2          | 875        | models for aeroelastic investigation .                       | what are the structural and aeroelastic probl...  
VSM        | 2          | 884        | the estimation of fatigue damage on structural elements .    | what are the structural and aeroelastic probl...  
VSM        | 2          | 1169       | hangling qualities experience with several vtol research a   | what are the structural and aeroelastic probl...  
VSM        | 2          | 792        | some low speed problems of high speed aircraft .             | what are the structural and aeroelastic probl...  
VSM        | 2          | 141        | free-flight techniques for high speed aerodynamic research   | what are the structural and aeroelastic probl...  
VSM        | 2          | 184        | scale models for thermo-aeroelastic research .               | what are the structural and aeroelastic probl...  
VSM        | 2          | 429        | a description of the r. a. e.  high speed supersonic tunne   | what are the structural and aeroelastic probl...  
LM         | 2          | 12         | some structural and aerelastic considerations of high spee   | what are the structural and aeroelastic probl...  
LM         | 2          | 746        | aeroelastic problems in connection with high speed flight    | what are the structural and aeroelastic probl...  
LM         | 2          | 792        | some low speed problems of high speed aircraft .             | what are the structural and aeroelastic probl...  
LM         | 2          | 141        | free-flight techniques for high speed aerodynamic research   | what are the structural and aeroelastic probl...  
LM         | 2          | 14         | piston theory - a new aerodynamic tool for the aeroelastic   | what are the structural and aeroelastic probl...  
LM         | 2          | 1089       | aerodynamic characteristics of propeller-driven vtol aircr   | what are the structural and aeroelastic probl...  
LM         | 2          | 51         | theory of aircraft structural models subjected to aerodyna   | what are the structural and aeroelastic probl...  
LM         | 2          | 875        | models for aeroelastic investigation .                       | what are the structural and aeroelastic probl...  
LM         | 2          | 172        | some aerodynamic considerations of nozzle afterbody combin   | what are the structural and aeroelastic probl...  
LM         | 2          | 724        | structural acoustic proof testing .                          | what are the structural and aeroelastic probl...  
VSM        | 4          | 399        | conduction of heat in composite slabs .                      | what problems of heat conduction in composite...  
VSM        | 4          | 144        | heat flow in composite slabs .                               | what problems of heat conduction in composite...  
VSM        | 4          | 485        | linear heat flow in a composite slab .                       | what problems of heat conduction in composite...  
VSM        | 4          | 5          | one-dimensional transient heat conduction into a double-la   | what problems of heat conduction in composite...  
VSM        | 4          | 181        | some problems on heat conduction in stratiform bodies .      | what problems of heat conduction in composite...  
VSM        | 4          | 90         | periodic temperature distributions in a two-layer composit   | what problems of heat conduction in composite...  
VSM        | 4          | 542        | biot's variational principle in heat conduction .            | what problems of heat conduction in composite...  
VSM        | 4          | 584        | conduction of heat in a solid with a power law of heat tra   | what problems of heat conduction in composite...  
